Date,Open,High,Low,Close,Adj Close,Volume
2017-05-05,2.68,2.69,2.61,2.66,2.66,1303100
2017-05-08,2.7,2.71,2.64,2.7,2.7,923600
2017-05-09,2.69,2.7,2.58,2.61,2.61,1750900
2017-05-10,2.58,2.58,2.48,2.49,2.49,3471200
2017-05-11,2.46,2.57,2.4,2.56,2.56,4126400
2017-05-12,2.56,2.57,2.43,2.48,2.48,1963900
2017-05-15,2.54,2.57,2.5,2.52,2.52,1530100
2017-05-16,2.54,2.54,2.48,2.52,2.52,903800
2017-05-17,2.52,2.54,2.46,2.49,2.49,937100
2017-05-18,2.47,2.51,2.46,2.5,2.5,426500
2017-05-19,2.52,2.52,2.48,2.51,2.51,829500
2017-05-23,2.52,2.53,2.48,2.5,2.5,579100
2017-05-24,2.5,2.51,2.47,2.49,2.49,770900
2017-05-25,2.49,2.49,2.49,2.49,2.49,0
2017-05-26,2.49,2.49,2.49,2.49,2.49,0
2017-05-29,2.63,2.65,2.51,2.53,2.53,2856200
2017-05-30,2.52,2.52,2.42,2.44,2.44,1757500
2017-05-31,2.41,2.41,2.34,2.34,2.34,1880700
2017-06-01,2.34,2.34,2.3,2.3,2.3,1135400
2017-06-02,2.3,2.32,2.17,2.22,2.22,6143800
2017-06-05,2.24,2.24,2.09,2.11,2.11,3852700
2017-06-06,2.02,2.12,1.98,2.02,2.02,4730600
2017-06-07,1.96,2.18,1.9,2.13,2.13,6946500
2017-06-08,2.19,2.2,2.13,2.17,2.17,1002900
2017-06-09,2.22,2.32,2.18,2.23,2.23,3873700
2017-06-12,2.28,2.31,2.19,2.21,2.21,1948500
2017-06-13,2.2,2.24,2.1,2.13,2.13,1855400
2017-06-14,2.13,2.15,2.09,2.12,2.12,1052400
2017-06-15,2.13,2.13,2.03,2.03,2.03,1132900
2017-06-16,2.07,2.14,2.06,2.1,2.1,1107000
2017-06-19,2.17,2.18,2.14,2.16,2.16,1308000
2017-06-20,2.18,2.19,2.14,2.14,2.14,975900
2017-06-21,2.14,2.16,2.13,2.15,2.15,547000
2017-06-22,2.16,2.2,2.14,2.19,2.19,1061700
2017-06-23,2.19,2.19,2.14,2.16,2.16,655000
2017-06-26,2.16,2.19,2.15,2.17,2.17,692200
2017-06-27,2.16,2.17,2.13,2.15,2.15,494000
2017-06-28,2.15,2.18,2.14,2.16,2.16,593600
2017-06-29,2.2,2.21,2.14,2.15,2.15,802600
2017-06-30,2.14,2.18,2.14,2.16,2.16,484700
2017-07-04,2.17,2.19,2.16,2.18,2.18,629800
2017-07-05,2.19,2.2,2.12,2.13,2.13,801500
2017-07-06,2.16,2.16,2.12,2.14,2.14,318200
2017-07-07,2.11,2.13,2.05,2.08,2.08,997800
2017-07-10,2.12,2.17,2.11,2.15,2.15,1145700
2017-07-11,2.18,2.2,2.17,2.19,2.19,877000
2017-07-12,2.21,2.43,2.2,2.36,2.36,3436400
2017-07-13,2.38,2.43,2.35,2.35,2.35,2205800
2017-07-14,2.34,2.36,2.3,2.36,2.36,893500
2017-07-17,2.37,2.49,2.36,2.47,2.47,1679900
2017-07-18,2.48,2.49,2.4,2.47,2.47,1357300
2017-07-19,2.48,2.49,2.44,2.47,2.47,1116600
2017-07-20,2.47,2.47,2.41,2.43,2.43,769300
2017-07-21,2.45,2.595,2.44,2.59,2.59,3589300
2017-07-24,2.67,2.82,2.63,2.73,2.73,4387000
2017-07-25,2.75,2.75,2.66,2.68,2.68,3057800
2017-07-26,2.68,2.69,2.63,2.69,2.69,1542500
2017-07-27,2.71,2.74,2.67,2.71,2.71,2020900
2017-07-28,2.71,2.71,2.67,2.7,2.7,918700
2017-07-31,2.72,2.72,2.69,2.69,2.69,941000
2017-08-01,2.7,2.71,2.66,2.68,2.68,675900
2017-08-02,2.66,2.68,2.54,2.56,2.56,1879500
2017-08-03,2.55,2.55,2.37,2.44,2.44,2302500
2017-08-04,2.41,2.44,2.35,2.39,2.39,1145500
2017-08-08,2.45,2.54,2.43,2.51,2.51,1328600
2017-08-09,2.53,2.56,2.51,2.51,2.51,645100
2017-08-10,2.51,2.52,2.45,2.47,2.47,855700
2017-08-11,2.47,2.48,2.41,2.44,2.44,620300
2017-08-14,2.44,2.52,2.42,2.51,2.51,912100
2017-08-15,2.5,2.53,2.48,2.52,2.52,521000
2017-08-16,2.51,2.52,2.48,2.5,2.5,489800
2017-08-17,2.49,2.5,2.46,2.47,2.47,520100
2017-08-18,2.46,2.48,2.43,2.47,2.47,495800
2017-08-21,2.47,2.47,2.41,2.42,2.42,833500
2017-08-22,2.42,2.45,2.38,2.42,2.42,738700
2017-08-23,2.42,2.47,2.41,2.45,2.45,497500
2017-08-24,2.45,2.47,2.43,2.43,2.43,445800
2017-08-25,2.43,2.45,2.43,2.43,2.43,242300
2017-08-28,2.43,2.45,2.43,2.43,2.43,320600
2017-08-29,2.44,2.44,2.41,2.43,2.43,285200
2017-08-30,2.43,2.45,2.41,2.42,2.42,288700
2017-08-31,2.47,2.53,2.47,2.49,2.49,1457000
2017-09-01,2.51,2.53,2.49,2.51,2.51,820800
2017-09-05,2.51,2.52,2.49,2.49,2.49,624900
2017-09-06,2.49,2.53,2.49,2.5,2.5,619800
2017-09-07,2.52,2.53,2.49,2.49,2.49,584200
2017-09-08,2.51,2.61,2.5,2.56,2.56,2072500
2017-09-11,2.6,2.7,2.57,2.69,2.69,1933700
2017-09-12,2.72,2.75,2.69,2.73,2.73,2364200
2017-09-13,2.75,2.78,2.61,2.64,2.64,2928400
2017-09-14,2.63,2.64,2.55,2.6,2.6,1050100
2017-09-15,2.64,2.7,2.62,2.7,2.7,1200100
2017-09-18,2.71,2.74,2.67,2.71,2.71,1724100
2017-09-19,2.74,2.8,2.72,2.78,2.78,2420900
2017-09-20,2.8,2.84,2.78,2.81,2.81,2152600
2017-09-21,2.81,2.83,2.72,2.75,2.75,1868800
2017-09-22,2.75,2.79,2.695,2.78,2.78,1484900
2017-09-25,2.81,2.87,2.8,2.84,2.84,2018800
2017-09-26,2.88,2.89,2.78,2.82,2.82,2633600
2017-09-27,2.81,2.82,2.78,2.79,2.79,1178100
2017-09-28,2.79,2.79,2.75,2.76,2.76,917400
2017-09-29,2.78,2.8,2.75,2.78,2.78,1177300
2017-10-02,2.81,2.86,2.8,2.85,2.85,2558800
