Ticker,Date,Adj Close,Close,High,Low,Open,Volume
ABCN.V,2017-05-04,1.01,1.01,1.5,0.97,1.5,15800000.0
ABCN.V,2017-05-05,1.01,1.01,1.09,0.98,1.05,4100100.0
ABCN.V,2017-05-08,1.0,1.0,1.07,1.0,1.05,2911900.0
ABCN.V,2017-05-09,0.9,0.9,1.04,0.88,1.03,2541200.0
ABCN.V,2017-05-10,0.86,0.86,0.94,0.84,0.92,1338500.0
ABCN.V,2017-05-11,0.9,0.9,0.92,0.84,0.85,1063400.0
ABCN.V,2017-05-12,0.87,0.87,0.94,0.86,0.93,878300.0
ABCN.V,2017-05-15,0.89,0.89,0.9,0.86,0.89,719200.0
ABCN.V,2017-05-16,0.9,0.9,0.93,0.87,0.91,872300.0
ABCN.V,2017-05-17,0.87,0.87,0.9,0.87,0.9,465500.0
ABCN.V,2017-05-18,0.89,0.89,0.9,0.87,0.89,256200.0
ABCN.V,2017-05-19,0.94,0.94,0.95,0.89,0.9,257500.0
ABCN.V,2017-05-23,0.99,0.99,1.02,0.97,0.99,1177500.0
ABCN.V,2017-05-24,0.97,0.97,1.02,0.96,1.01,571100.0
ABCN.V,2017-05-25,0.94,0.94,0.97,0.93,0.97,246000.0
ABCN.V,2017-05-26,0.99,0.99,1.0,0.94,0.94,546500.0
ABCN.V,2017-05-29,0.96,0.96,1.01,0.96,0.99,256200.0
ABCN.V,2017-05-30,1.0,1.0,1.12,1.0,1.1,2226300.0
ABCN.V,2017-05-31,0.98,0.98,1.04,0.98,1.04,655500.0
ABCN.V,2017-06-01,0.99,0.99,1.04,0.99,0.99,506700.0
ABCN.V,2017-06-02,0.99,0.99,1.03,0.99,1.0,236000.0
ABCN.V,2017-06-05,0.99,0.99,0.99,0.92,0.95,852300.0
ABCN.V,2017-06-06,0.95,0.95,0.98,0.91,0.95,634700.0
ABCN.V,2017-06-07,0.99,0.99,0.99,0.93,0.97,510000.0
ABCN.V,2017-06-08,1.01,1.01,1.01,0.96,0.96,364200.0
ABCN.V,2017-06-09,1.0,1.0,1.03,1.0,1.02,648500.0
ABCN.V,2017-06-12,0.97,0.97,1.02,0.97,1.02,217200.0
ABCN.V,2017-06-13,1.0,1.0,1.02,0.97,0.98,144100.0
ABCN.V,2017-06-14,1.01,1.01,1.02,0.97,0.99,419600.0
ABCN.V,2017-06-15,0.99,0.99,0.99,0.98,0.98,184400.0
ABCN.V,2017-06-16,0.99,0.99,1.01,0.97,0.97,440300.0
ABCN.V,2017-06-19,0.98,0.98,1.02,0.98,1.02,469000.0
ABCN.V,2017-06-20,0.96,0.96,1.0,0.96,1.0,171100.0
ABCN.V,2017-06-21,0.96,0.96,0.98,0.91,0.98,523000.0
ABCN.V,2017-06-22,0.96,0.96,0.96,0.9,0.96,250600.0
ABCN.V,2017-06-23,0.96,0.96,0.96,0.92,0.93,105500.0
ABCN.V,2017-06-26,0.93,0.93,0.95,0.92,0.95,170300.0
ABCN.V,2017-06-27,0.9,0.9,0.94,0.9,0.94,239500.0
ABCN.V,2017-06-28,0.9,0.9,0.93,0.9,0.9,177000.0
ABCN.V,2017-06-29,0.92,0.92,0.92,0.9,0.91,148700.0
ABCN.V,2017-06-30,0.915,0.915,0.93,0.865,0.91,188900.0
ABCN.V,2017-07-04,0.9,0.9,0.92,0.89,0.9,53000.0
ABCN.V,2017-07-05,0.88,0.88,0.91,0.86,0.9,136500.0
ABCN.V,2017-07-06,0.89,0.89,0.9,0.87,0.87,264600.0
ABCN.V,2017-07-07,0.86,0.86,0.89,0.86,0.89,170300.0
ABCN.V,2017-07-10,0.87,0.87,0.91,0.87,0.89,246000.0
ABCN.V,2017-07-11,0.88,0.88,0.91,0.86,0.88,345100.0
ABCN.V,2017-07-12,0.91,0.91,0.91,0.89,0.89,246400.0
ABCN.V,2017-07-13,0.89,0.89,0.93,0.88,0.91,294100.0
ABCN.V,2017-07-14,0.88,0.88,0.9,0.88,0.9,111900.0
ABCN.V,2017-07-17,0.91,0.91,0.93,0.89,0.9,438500.0
ABCN.V,2017-07-18,0.93,0.93,0.94,0.91,0.94,665600.0
ABCN.V,2017-07-19,0.92,0.92,0.94,0.91,0.94,230900.0
ABCN.V,2017-07-20,0.91,0.91,0.93,0.89,0.93,244300.0
ABCN.V,2017-07-21,0.9,0.9,0.91,0.88,0.91,198100.0
ABCN.V,2017-07-24,0.92,0.92,0.93,0.9,0.91,149600.0
ABCN.V,2017-07-25,0.92,0.92,0.93,0.91,0.93,105600.0
ABCN.V,2017-07-26,0.94,0.94,0.94,0.92,0.92,675100.0
ABCN.V,2017-07-27,0.94,0.94,0.95,0.92,0.94,434200.0
ABCN.V,2017-07-28,0.94,0.94,0.96,0.93,0.95,236600.0
ABCN.V,2017-07-31,0.93,0.93,0.95,0.92,0.95,173800.0
ABCN.V,2017-08-01,0.93,0.93,0.94,0.92,0.94,147600.0
ABCN.V,2017-08-02,0.93,0.93,0.94,0.91,0.93,161500.0
ABCN.V,2017-08-03,0.92,0.92,0.93,0.9,0.92,152600.0
ABCN.V,2017-08-04,0.91,0.91,0.91,0.89,0.91,184900.0
ABCN.V,2017-08-08,0.89,0.89,0.91,0.89,0.9,196200.0
ABCN.V,2017-08-09,0.88,0.88,0.89,0.87,0.89,320000.0
ABCN.V,2017-08-10,0.86,0.86,0.89,0.86,0.88,262200.0
ABCN.V,2017-08-11,0.87,0.87,0.87,0.84,0.86,225600.0
ABCN.V,2017-08-14,0.85,0.85,0.87,0.84,0.87,232200.0
ABCN.V,2017-08-15,0.87,0.87,0.87,0.85,0.87,359700.0
ABCN.V,2017-08-16,0.9,0.9,0.91,0.87,0.87,577000.0
ABCN.V,2017-08-17,0.9,0.9,0.92,0.9,0.91,603300.0
ABCN.V,2017-08-18,0.91,0.91,0.92,0.9,0.92,236300.0
ABCN.V,2017-08-21,0.9,0.9,0.95,0.9,0.92,808100.0
ABCN.V,2017-08-22,0.9,0.9,0.93,0.9,0.92,343600.0
ABCN.V,2017-08-23,0.9,0.9,0.92,0.89,0.92,553600.0
ABCN.V,2017-08-24,0.9,0.9,0.91,0.9,0.91,234500.0
ABCN.V,2017-08-25,0.95,0.95,0.95,0.91,0.91,569900.0
ABCN.V,2017-08-28,0.92,0.92,0.95,0.92,0.95,415000.0
ABCN.V,2017-08-29,0.88,0.88,0.92,0.88,0.92,1032700.0
ABCN.V,2017-08-30,0.88,0.88,0.91,0.86,0.9,1004700.0
