Date,Open,High,Low,Close,Adj Close,Volume
1/5/2012,0.12,0.12,0.12,0.12,0.12,0
1/6/2012,0.12,0.12,0.12,0.12,0.12,0
1/9/2012,0.12,0.12,0.12,0.12,0.12,0
1/10/2012,0.12,0.12,0.12,0.12,0.12,0
1/11/2012,0.12,0.12,0.12,0.12,0.12,0
1/12/2012,0.12,0.12,0.12,0.12,0.12,0
1/13/2012,0.03,0.03,0.03,0.03,0.03,24000
1/16/2012,0.03,0.03,0.03,0.03,0.03,0
1/17/2012,0.03,0.03,0.03,0.03,0.03,0
1/18/2012,0.05,0.05,0.05,0.05,0.05,24000
1/19/2012,0.05,0.05,0.05,0.05,0.05,0
1/20/2012,0.05,0.05,0.05,0.05,0.05,0
1/23/2012,0.05,0.05,0.05,0.05,0.05,0
1/24/2012,0.05,0.05,0.05,0.05,0.05,25000
1/25/2012,0.05,0.05,0.05,0.05,0.05,0
1/26/2012,0.05,0.05,0.05,0.05,0.05,0
1/27/2012,0.05,0.05,0.05,0.05,0.05,0
1/30/2012,0.05,0.05,0.05,0.05,0.05,0
1/31/2012,0.05,0.05,0.05,0.05,0.05,0
2/1/2012,0.02,0.06,0.01,0.04,0.04,135000
2/2/2012,0.04,0.04,0.04,0.04,0.04,0
2/3/2012,0.04,0.04,0.04,0.04,0.04,0
2/6/2012,0.04,0.04,0.04,0.04,0.04,0
2/7/2012,0.04,0.04,0.04,0.04,0.04,0
2/8/2012,0.04,0.04,0.04,0.04,0.04,0
2/9/2012,0.04,0.04,0.04,0.04,0.04,0
2/10/2012,0.04,0.04,0.04,0.04,0.04,0
2/13/2012,0.04,0.04,0.04,0.04,0.04,0
2/14/2012,0.04,0.04,0.04,0.04,0.04,0
2/15/2012,0.04,0.04,0.04,0.04,0.04,0
2/16/2012,0.04,0.04,0.04,0.04,0.04,0
2/17/2012,0.04,0.04,0.04,0.04,0.04,0
2/21/2012,0.04,0.04,0.04,0.04,0.04,0
2/22/2012,0.04,0.04,0.04,0.04,0.04,0
2/23/2012,0.04,0.04,0.04,0.04,0.04,0
2/24/2012,0.04,0.04,0.04,0.04,0.04,0
2/27/2012,0.04,0.04,0.04,0.04,0.04,0
2/28/2012,0.04,0.04,0.04,0.04,0.04,0
2/29/2012,0.04,0.04,0.04,0.04,0.04,0
3/1/2012,0.04,0.04,0.04,0.04,0.04,0
3/2/2012,0.04,0.04,0.04,0.04,0.04,0
3/5/2012,0.04,0.04,0.04,0.04,0.04,0
3/6/2012,0.04,0.04,0.04,0.04,0.04,0
3/7/2012,0.04,0.04,0.04,0.04,0.04,0
3/8/2012,0.04,0.04,0.04,0.04,0.04,0
3/9/2012,0.04,0.04,0.04,0.04,0.04,0
3/12/2012,0.04,0.04,0.04,0.04,0.04,0
3/13/2012,0.04,0.04,0.04,0.04,0.04,0
3/14/2012,0.04,0.04,0.04,0.04,0.04,0
3/15/2012,0.04,0.04,0.04,0.04,0.04,0
3/16/2012,0.04,0.04,0.04,0.04,0.04,0
3/19/2012,0.04,0.04,0.04,0.04,0.04,0
3/20/2012,0.04,0.04,0.04,0.04,0.04,0
3/21/2012,0.04,0.04,0.04,0.04,0.04,0
3/22/2012,0.04,0.04,0.04,0.04,0.04,0
3/23/2012,0.1,0.1,0.04,0.05,0.05,40000
3/26/2012,0.05,0.05,0.05,0.05,0.05,0
3/27/2012,0.05,0.05,0.05,0.05,0.05,0
3/28/2012,0.05,0.05,0.05,0.05,0.05,0
3/29/2012,0.05,0.05,0.05,0.05,0.05,0
3/30/2012,0.05,0.05,0.05,0.05,0.05,0
4/2/2012,0.2,0.2,0.1,0.1,0.1,27000
4/3/2012,0.1,0.1,0.1,0.1,0.1,0
4/4/2012,0.1,0.1,0.1,0.1,0.1,0
4/5/2012,0.1,0.1,0.1,0.1,0.1,0
4/9/2012,0.1,0.1,0.1,0.1,0.1,0
4/10/2012,0.1,0.1,0.1,0.1,0.1,0
4/11/2012,0.1,0.1,0.1,0.1,0.1,0
4/12/2012,0.1,0.1,0.1,0.1,0.1,0
4/13/2012,0.1,0.1,0.1,0.1,0.1,0
4/16/2012,0.1,0.1,0.1,0.1,0.1,0
4/17/2012,0.1,0.1,0.1,0.1,0.1,0
4/18/2012,0.1,0.1,0.1,0.1,0.1,0
4/19/2012,0.1,0.1,0.1,0.1,0.1,0
4/20/2012,0.1,0.1,0.1,0.1,0.1,0
4/23/2012,0.1,0.1,0.1,0.1,0.1,0
4/24/2012,0.1,0.1,0.1,0.1,0.1,0
4/25/2012,0.1,0.1,0.1,0.1,0.1,0
4/26/2012,0.1,0.1,0.1,0.1,0.1,0
4/27/2012,0.1,0.1,0.1,0.1,0.1,0
4/30/2012,0.1,0.1,0.1,0.1,0.1,0
5/1/2012,0.1,0.1,0.1,0.1,0.1,0
5/2/2012,0.1,0.1,0.1,0.1,0.1,0
5/3/2012,0.1,0.1,0.1,0.1,0.1,0
5/4/2012,0.1,0.1,0.1,0.1,0.1,0
5/7/2012,0.1,0.1,0.1,0.1,0.1,0
5/8/2012,0.1,0.1,0.1,0.1,0.1,0
5/9/2012,0.1,0.1,0.1,0.1,0.1,0
5/10/2012,0.1,0.1,0.1,0.1,0.1,0
5/11/2012,0.1,0.1,0.1,0.1,0.1,0
5/14/2012,0.1,0.1,0.1,0.1,0.1,0
5/15/2012,0.1,0.1,0.1,0.1,0.1,0
5/16/2012,0.1,0.1,0.1,0.1,0.1,0
5/17/2012,0.1,0.1,0.1,0.1,0.1,0
5/18/2012,0.1,0.1,0.1,0.1,0.1,0
5/22/2012,0.1,0.1,0.1,0.1,0.1,0
5/23/2012,0.1,0.1,0.1,0.1,0.1,0
5/24/2012,0.1,0.1,0.1,0.1,0.1,0
5/25/2012,0.1,0.1,0.1,0.1,0.1,0
5/28/2012,0.1,0.1,0.1,0.1,0.1,0
5/29/2012,0.1,0.1,0.1,0.1,0.1,0
5/30/2012,0.1,0.1,0.1,0.1,0.1,0
5/31/2012,0.1,0.1,0.1,0.1,0.1,0
6/1/2012,0.1,0.1,0.1,0.1,0.1,0
6/4/2012,0.1,0.1,0.1,0.1,0.1,0
6/5/2012,0.1,0.1,0.1,0.1,0.1,0
6/6/2012,0.1,0.1,0.1,0.1,0.1,0
6/7/2012,0.1,0.1,0.1,0.1,0.1,0
6/8/2012,0.1,0.1,0.1,0.1,0.1,0
6/11/2012,0.1,0.1,0.1,0.1,0.1,0
6/12/2012,0.1,0.1,0.1,0.1,0.1,0
6/13/2012,0.1,0.1,0.1,0.1,0.1,0
6/14/2012,0.1,0.1,0.1,0.1,0.1,0
6/15/2012,0.1,0.1,0.1,0.1,0.1,0
6/18/2012,0.1,0.1,0.1,0.1,0.1,0
6/19/2012,0.1,0.1,0.1,0.1,0.1,0
6/20/2012,0.1,0.1,0.1,0.1,0.1,0
6/21/2012,0.1,0.1,0.1,0.1,0.1,0
6/22/2012,0.1,0.1,0.1,0.1,0.1,0
6/25/2012,0.1,0.1,0.1,0.1,0.1,0
6/26/2012,0.1,0.1,0.1,0.1,0.1,0
6/27/2012,0.1,0.1,0.1,0.1,0.1,0
6/28/2012,0.1,0.1,0.1,0.1,0.1,0
6/29/2012,0.1,0.1,0.1,0.1,0.1,0
7/3/2012,0.1,0.1,0.1,0.1,0.1,0
7/4/2012,0.1,0.1,0.1,0.1,0.1,0
7/5/2012,0.1,0.1,0.1,0.1,0.1,0
7/6/2012,0.1,0.1,0.1,0.1,0.1,0
7/9/2012,0.1,0.1,0.1,0.1,0.1,0
7/10/2012,0.1,0.1,0.1,0.1,0.1,0
7/11/2012,0.1,0.1,0.1,0.1,0.1,0
7/12/2012,0.1,0.1,0.1,0.1,0.1,0
7/13/2012,0.1,0.1,0.1,0.1,0.1,0
7/16/2012,0.1,0.1,0.1,0.1,0.1,0
